Vardas              Pavarde              Galutinis
Vardas1             Pavarde1                  7.40
Vardas2             Pavarde2                  5.12
Vardas3             Pavarde3                  5.24
Vardas4             Pavarde4                  7.28
Vardas5             Pavarde5                  6.80
Vardas6             Pavarde6                  6.72
Vardas7             Pavarde7                  2.56
Vardas8             Pavarde8                  4.80
Vardas9             Pavarde9                  3.76
Vardas10            Pavarde10                 7.32
Vardas11            Pavarde11                 8.88
Vardas12            Pavarde12                 4.88
Vardas13            Pavarde13                 5.80
Vardas14            Pavarde14                 7.96
Vardas15            Pavarde15                 8.68
Vardas16            Pavarde16                 7.44
Vardas17            Pavarde17                 4.04
Vardas18            Pavarde18                 7.00
Vardas19            Pavarde19                 6.76
Vardas20            Pavarde20                 7.04
Vardas21            Pavarde21                 3.68
Vardas22            Pavarde22                 6.68
Vardas23            Pavarde23                 7.80
Vardas24            Pavarde24                 6.16
Vardas25            Pavarde25                 7.04
Vardas26            Pavarde26                 4.44
Vardas27            Pavarde27                 7.36
Vardas28            Pavarde28                 2.96
Vardas29            Pavarde29                 6.00
Vardas30            Pavarde30                 6.64
Vardas31            Pavarde31                 7.96
Vardas32            Pavarde32                 7.48
Vardas33            Pavarde33                 4.36
Vardas34            Pavarde34                 7.80
Vardas35            Pavarde35                 4.20
Vardas36            Pavarde36                 7.92
Vardas37            Pavarde37                 4.56
Vardas38            Pavarde38                 3.68
Vardas39            Pavarde39                 5.76
Vardas40            Pavarde40                 7.20
Vardas41            Pavarde41                 4.80
Vardas42            Pavarde42                 2.48
Vardas43            Pavarde43                 7.92
Vardas44            Pavarde44                 7.12
Vardas45            Pavarde45                 6.16
Vardas46            Pavarde46                 4.96
Vardas47            Pavarde47                 6.48
Vardas48            Pavarde48                 4.52
Vardas49            Pavarde49                 2.36
Vardas50            Pavarde50                 7.76
Vardas51            Pavarde51                 2.60
Vardas52            Pavarde52                 2.96
Vardas53            Pavarde53                 5.36
Vardas54            Pavarde54                 6.36
Vardas55            Pavarde55                 6.72
Vardas56            Pavarde56                 5.48
Vardas57            Pavarde57                 6.16
Vardas58            Pavarde58                 3.28
Vardas59            Pavarde59                 3.28
Vardas60            Pavarde60                 8.72
Vardas61            Pavarde61                 6.08
Vardas62            Pavarde62                 6.68
Vardas63            Pavarde63                 7.04
Vardas64            Pavarde64                 3.56
Vardas65            Pavarde65                 4.68
Vardas66            Pavarde66                 3.28
Vardas67            Pavarde67                 4.52
Vardas68            Pavarde68                 4.92
Vardas69            Pavarde69                 1.88
Vardas70            Pavarde70                 5.72
Vardas71            Pavarde71                 5.04
Vardas72            Pavarde72                 7.56
Vardas73            Pavarde73                 4.40
Vardas74            Pavarde74                 8.04
Vardas75            Pavarde75                 6.00
Vardas76            Pavarde76                 8.32
Vardas77            Pavarde77                 4.44
Vardas78            Pavarde78                 5.48
Vardas79            Pavarde79                 5.88
Vardas80            Pavarde80                 3.76
Vardas81            Pavarde81                 3.32
Vardas82            Pavarde82                 5.04
Vardas83            Pavarde83                 5.68
Vardas84            Pavarde84                 6.44
Vardas85            Pavarde85                 7.32
Vardas86            Pavarde86                 4.92
Vardas87            Pavarde87                 3.56
Vardas88            Pavarde88                 6.96
Vardas89            Pavarde89                 4.60
Vardas90            Pavarde90                 3.84
Vardas91            Pavarde91                 7.28
Vardas92            Pavarde92                 3.48
Vardas93            Pavarde93                 4.40
Vardas94            Pavarde94                 6.76
Vardas95            Pavarde95                 5.96
Vardas96            Pavarde96                 3.76
Vardas97            Pavarde97                 7.68
Vardas98            Pavarde98                 3.08
Vardas99            Pavarde99                 2.92
Vardas100           Pavarde100                8.64
Vardas101           Pavarde101                3.76
Vardas102           Pavarde102                7.80
Vardas103           Pavarde103                7.24
Vardas104           Pavarde104                2.60
Vardas105           Pavarde105                2.76
Vardas106           Pavarde106                5.04
Vardas107           Pavarde107                3.56
Vardas108           Pavarde108                9.12
Vardas109           Pavarde109                6.48
Vardas110           Pavarde110                3.88
Vardas111           Pavarde111                7.44
Vardas112           Pavarde112                8.56
Vardas113           Pavarde113                5.12
Vardas114           Pavarde114                5.40
Vardas115           Pavarde115                4.04
Vardas116           Pavarde116                7.92
Vardas117           Pavarde117                5.92
Vardas118           Pavarde118                4.44
Vardas119           Pavarde119                5.80
Vardas120           Pavarde120                6.16
Vardas121           Pavarde121                3.76
Vardas122           Pavarde122                7.08
Vardas123           Pavarde123                7.12
Vardas124           Pavarde124                5.16
Vardas125           Pavarde125                3.08
Vardas126           Pavarde126                8.28
Vardas127           Pavarde127                5.64
Vardas128           Pavarde128                5.04
Vardas129           Pavarde129                3.80
Vardas130           Pavarde130                5.40
Vardas131           Pavarde131                4.64
Vardas132           Pavarde132                5.68
Vardas133           Pavarde133                5.04
Vardas134           Pavarde134                4.64
Vardas135           Pavarde135                8.16
Vardas136           Pavarde136                7.84
Vardas137           Pavarde137                5.04
Vardas138           Pavarde138                3.40
Vardas139           Pavarde139                2.60
Vardas140           Pavarde140                5.08
Vardas141           Pavarde141                6.84
Vardas142           Pavarde142                7.28
Vardas143           Pavarde143                4.52
Vardas144           Pavarde144                6.28
Vardas145           Pavarde145                4.84
Vardas146           Pavarde146                2.60
Vardas147           Pavarde147                7.12
Vardas148           Pavarde148                6.92
Vardas149           Pavarde149                6.16
Vardas150           Pavarde150                7.56
Vardas151           Pavarde151                5.12
Vardas152           Pavarde152                7.88
Vardas153           Pavarde153                5.08
Vardas154           Pavarde154                4.88
Vardas155           Pavarde155                3.24
Vardas156           Pavarde156                4.72
Vardas157           Pavarde157                2.80
Vardas158           Pavarde158                7.48
Vardas159           Pavarde159                7.64
Vardas160           Pavarde160                5.56
Vardas161           Pavarde161                5.12
Vardas162           Pavarde162                8.00
Vardas163           Pavarde163                4.84
Vardas164           Pavarde164                4.64
Vardas165           Pavarde165                4.60
Vardas166           Pavarde166                7.80
Vardas167           Pavarde167                7.24
Vardas168           Pavarde168                8.32
Vardas169           Pavarde169                8.44
Vardas170           Pavarde170                5.76
Vardas171           Pavarde171                7.72
Vardas172           Pavarde172                4.68
Vardas173           Pavarde173                5.32
Vardas174           Pavarde174                5.24
Vardas175           Pavarde175                4.20
Vardas176           Pavarde176                3.92
Vardas177           Pavarde177                3.00
Vardas178           Pavarde178                5.60
Vardas179           Pavarde179                7.92
Vardas180           Pavarde180                3.64
Vardas181           Pavarde181                4.04
Vardas182           Pavarde182                7.64
Vardas183           Pavarde183                6.00
Vardas184           Pavarde184                6.80
Vardas185           Pavarde185                8.68
Vardas186           Pavarde186                8.56
Vardas187           Pavarde187                4.56
Vardas188           Pavarde188                5.08
Vardas189           Pavarde189                3.84
Vardas190           Pavarde190                7.20
Vardas191           Pavarde191                7.92
Vardas192           Pavarde192                5.52
Vardas193           Pavarde193                4.76
Vardas194           Pavarde194                7.76
Vardas195           Pavarde195                6.40
Vardas196           Pavarde196                4.00
Vardas197           Pavarde197                3.80
Vardas198           Pavarde198                3.20
Vardas199           Pavarde199                6.12
Vardas200           Pavarde200                7.08
Vardas201           Pavarde201                4.24
Vardas202           Pavarde202                2.40
Vardas203           Pavarde203                7.76
Vardas204           Pavarde204                7.96
Vardas205           Pavarde205                8.72
Vardas206           Pavarde206                5.92
Vardas207           Pavarde207                6.76
Vardas208           Pavarde208                3.32
Vardas209           Pavarde209                8.12
Vardas210           Pavarde210                6.16
Vardas211           Pavarde211                5.24
Vardas212           Pavarde212                5.80
Vardas213           Pavarde213                8.16
Vardas214           Pavarde214                2.76
Vardas215           Pavarde215                7.84
Vardas216           Pavarde216                3.76
Vardas217           Pavarde217                7.28
Vardas218           Pavarde218                6.60
Vardas219           Pavarde219                3.76
Vardas220           Pavarde220                5.44
Vardas221           Pavarde221                6.28
Vardas222           Pavarde222                7.72
Vardas223           Pavarde223                5.68
Vardas224           Pavarde224                6.84
Vardas225           Pavarde225                2.92
Vardas226           Pavarde226                5.92
Vardas227           Pavarde227                7.12
Vardas228           Pavarde228                8.84
Vardas229           Pavarde229                6.84
Vardas230           Pavarde230                3.28
Vardas231           Pavarde231                5.68
Vardas232           Pavarde232                5.44
Vardas233           Pavarde233                4.80
Vardas234           Pavarde234                5.08
Vardas235           Pavarde235                2.12
Vardas236           Pavarde236                7.88
Vardas237           Pavarde237                2.72
Vardas238           Pavarde238                5.40
Vardas239           Pavarde239                2.68
Vardas240           Pavarde240                4.84
Vardas241           Pavarde241                4.92
Vardas242           Pavarde242                6.36
Vardas243           Pavarde243                5.08
Vardas244           Pavarde244                3.88
Vardas245           Pavarde245                8.32
Vardas246           Pavarde246                6.60
Vardas247           Pavarde247                3.60
Vardas248           Pavarde248                6.72
Vardas249           Pavarde249                4.04
Vardas250           Pavarde250                7.60
Vardas251           Pavarde251                5.32
Vardas252           Pavarde252                2.84
Vardas253           Pavarde253                5.24
Vardas254           Pavarde254                4.68
Vardas255           Pavarde255                7.20
Vardas256           Pavarde256                3.80
Vardas257           Pavarde257                7.20
Vardas258           Pavarde258                5.12
Vardas259           Pavarde259                5.20
Vardas260           Pavarde260                7.84
Vardas261           Pavarde261                7.08
Vardas262           Pavarde262                6.28
Vardas263           Pavarde263                6.88
Vardas264           Pavarde264                5.64
Vardas265           Pavarde265                7.28
Vardas266           Pavarde266                3.52
Vardas267           Pavarde267                6.72
Vardas268           Pavarde268                7.56
Vardas269           Pavarde269                6.64
Vardas270           Pavarde270                4.24
Vardas271           Pavarde271                6.76
Vardas272           Pavarde272                7.72
Vardas273           Pavarde273                6.40
Vardas274           Pavarde274                6.44
Vardas275           Pavarde275                6.84
Vardas276           Pavarde276                8.36
Vardas277           Pavarde277                5.68
Vardas278           Pavarde278                6.08
Vardas279           Pavarde279                6.04
Vardas280           Pavarde280                7.68
Vardas281           Pavarde281                8.56
Vardas282           Pavarde282                5.84
Vardas283           Pavarde283                5.64
Vardas284           Pavarde284                6.20
Vardas285           Pavarde285                5.76
Vardas286           Pavarde286                3.84
Vardas287           Pavarde287                6.44
Vardas288           Pavarde288                2.36
Vardas289           Pavarde289                3.84
Vardas290           Pavarde290                6.12
Vardas291           Pavarde291                8.08
Vardas292           Pavarde292                8.64
Vardas293           Pavarde293                7.68
Vardas294           Pavarde294                8.00
Vardas295           Pavarde295                6.48
Vardas296           Pavarde296                7.60
Vardas297           Pavarde297                4.12
Vardas298           Pavarde298                3.48
Vardas299           Pavarde299                3.24
Vardas300           Pavarde300                8.20
Vardas301           Pavarde301                2.80
Vardas302           Pavarde302                7.36
Vardas303           Pavarde303                4.44
Vardas304           Pavarde304                6.64
Vardas305           Pavarde305                5.76
Vardas306           Pavarde306                3.80
Vardas307           Pavarde307                5.16
